subj,freq,ptype,dur,itemN,trial,rt,error,prevRT,prevERR,prevYES,itemERR,subjERR,ID
4,LF,rel,66ms,35,120,806.4,0,966.1,no,no,0,5.2,cc
4,LF,rel,66ms,36,185,2476.9,1,2099.6,no,no,0,5.2,cc
4,HF,rel,33ms,13,104,760.1,0,916.1,no,yes,0,5.2,cc
4,HF,rel,33ms,14,93,739.8,0,2148.2,no,yes,0,5.2,cc
4,HF,rel,33ms,15,17,946.6,0,1177.4,no,no,0,5.2,cc
4,HF,rel,33ms,16,58,733,0,1355.6,no,yes,0,5.2,cc
4,HF,rel,33ms,17,48,1670.3,1,771.9,no,yes,0,5.2,cc
4,HF,rel,33ms,18,149,1653.6,1,1130.9,no,yes,0,5.2,cc
4,HF,rel,33ms,19,157,822.8,0,1725.3,no,no,0,5.2,cc
4,HF,rel,33ms,20,169,690,0,1035,no,yes,0,5.2,cc
4,HF,rel,33ms,21,78,691.9,0,,yes,,0,5.2,cc
4,HF,rel,33ms,22,118,1132.9,0,820.6,no,yes,0,5.2,cc
4,HF,rel,33ms,23,117,820.6,0,903.9,no,no,0,5.2,cc
4,HF,rel,33ms,24,196,851.5,0,1521.4,no,no,0,5.2,cc
4,LF,rel,33ms,37,88,1697.4,1,791.8,no,yes,42.9,5.2,cc
4,LF,rel,33ms,38,99,846,0,696,no,yes,0,5.2,cc
4,LF,rel,33ms,39,19,978.7,0,1043.7,no,no,0,5.2,cc
4,LF,rel,33ms,40,41,948.3,0,828,no,yes,0,5.2,cc
4,LF,rel,33ms,41,43,830.3,0,797.3,no,yes,0,5.2,cc
4,LF,rel,33ms,42,153,1064.9,0,908.3,no,no,25,5.2,cc
4,LF,rel,33ms,43,171,793,0,950.5,no,yes,12.5,5.2,cc
4,LF,rel,33ms,44,179,2326.7,1,863.9,no,yes,62.5,5.2,cc
4,LF,rel,33ms,45,76,753.6,0,1009.3,no,yes,37.5,5.2,cc
