subj,freq,ptype,dur,itemN,rt,error,ID
6,LF,rel,66ms,34,458.1,0,jh
6,LF,rel,66ms,35,611.2,0,jh
6,LF,rel,66ms,36,458.7,0,jh
6,HF,rel,33ms,13,505.3,0,jh
6,HF,rel,33ms,14,465.8,0,jh
6,HF,rel,33ms,15,592,0,jh
6,HF,rel,33ms,16,544.8,0,jh
6,HF,rel,33ms,17,538.9,0,jh
6,HF,rel,33ms,18,576,0,jh
6,HF,rel,33ms,19,510.3,0,jh
6,HF,rel,33ms,20,471.2,0,jh
6,HF,rel,33ms,21,439.9,0,jh
6,HF,rel,33ms,22,567.3,0,jh
6,HF,rel,33ms,23,485.8,0,jh
6,HF,rel,33ms,24,503.2,0,jh
6,LF,rel,33ms,37,608.2,1,jh
6,LF,rel,33ms,38,713.3,0,jh
6,LF,rel,33ms,39,723.3,0,jh
6,LF,rel,33ms,40,564.3,0,jh
6,LF,rel,33ms,41,723.3,0,jh
6,LF,rel,33ms,42,612.3,0,jh
6,LF,rel,33ms,43,513.4,0,jh
6,LF,rel,33ms,44,583.6,1,jh
6,LF,rel,33ms,45,674.3,0,jh
6,LF,rel,33ms,46,526.8,0,jh
6,LF,rel,33ms,47,557.9,0,jh
6,LF,rel,33ms,48,594,0,jh
6,HF,unrel,66ms,49,468.5,0,jh
6,HF,unrel,66ms,50,541.7,0,jh
6,HF,unrel,66ms,51,481.8,0,jh
6,HF,unrel,66ms,52,551.7,0,jh
6,HF,unrel,66ms,53,539,1,jh
6,HF,unrel,66ms,54,638.7,0,jh
6,HF,unrel,66ms,55,523.6,0,jh
6,HF,unrel,66ms,56,689,0,jh
6,HF,unrel,66ms,57,514.8,0,jh
6,HF,unrel,66ms,58,469.5,0,jh
6,HF,unrel,66ms,59,464.2,0,jh
6,HF,unrel,66ms,60,591.2,0,jh
6,LF,unrel,66ms,73,629.2,0,jh
6,LF,unrel,66ms,74,660.6,1,jh
6,LF,unrel,66ms,75,558.5,0,jh
6,LF,unrel,66ms,76,865.5,1,jh
6,LF,unrel,66ms,77,547.1,0,jh
6,LF,unrel,66ms,78,723.3,0,jh
6,LF,unrel,66ms,79,555.8,1,jh
6,LF,unrel,66ms,80,541,0,jh
6,LF,unrel,66ms,81,525.4,1,jh
6,LF,unrel,66ms,82,930.1,1,jh
6,LF,unrel,66ms,83,510.7,1,jh
6,LF,unrel,66ms,84,563.7,1,jh
6,HF,unrel,33ms,61,529.4,0,jh
6,HF,unrel,33ms,62,606.3,1,jh
6,HF,unrel,33ms,63,669,0,jh
6,HF,unrel,33ms,64,524.1,0,jh
6,HF,unrel,33ms,65,484.6,0,jh
6,HF,unrel,33ms,66,723.3,0,jh
6,HF,unrel,33ms,67,621.4,0,jh
6,HF,unrel,33ms,68,587.1,0,jh
6,HF,unrel,33ms,69,477.8,0,jh
6,HF,unrel,33ms,70,543.1,0,jh
6,HF,unrel,33ms,71,614.1,0,jh
6,HF,unrel,33ms,72,529.5,0,jh
6,LF,unrel,33ms,85,442.4,1,jh
6,LF,unrel,33ms,86,504.5,0,jh
6,LF,unrel,33ms,87,555,0,jh
6,LF,unrel,33ms,88,462.4,0,jh
6,LF,unrel,33ms,89,554.6,0,jh
6,LF,unrel,33ms,90,617.2,0,jh
6,LF,unrel,33ms,91,497.6,0,jh
6,LF,unrel,33ms,92,518,0,jh
6,LF,unrel,33ms,93,488.9,0,jh
6,LF,unrel,33ms,94,464,0,jh
6,LF,unrel,33ms,95,588.8,0,jh
6,LF,unrel,33ms,96,567.2,0,jh
7,HF,rel,66ms,1,511.6,0,HJ
7,HF,rel,66ms,2,513.2,0,HJ
7,HF,rel,66ms,3,393.2,0,HJ
7,HF,rel,66ms,4,491.4,0,HJ
7,HF,rel,66ms,5,495.6,0,HJ
7,HF,rel,66ms,6,455.8,0,HJ
7,HF,rel,66ms,7,446.4,0,HJ
7,HF,rel,66ms,8,458,0,HJ
7,HF,rel,66ms,9,457.1,0,HJ
7,HF,rel,66ms,10,484.8,0,HJ
7,HF,rel,66ms,11,515.9,0,HJ
7,HF,rel,66ms,12,471.8,0,HJ
7,LF,rel,66ms,25,424,0,HJ
7,LF,rel,66ms,26,488.5,0,HJ
7,LF,rel,66ms,27,636.7,0,HJ
7,LF,rel,66ms,28,447.9,0,HJ
7,LF,rel,66ms,29,487,0,HJ
7,LF,rel,66ms,30,428.1,0,HJ
7,LF,rel,66ms,31,505.8,0,HJ
